Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
0,5.4096226692,0.1088981628,0.9059531689,-10.168548584,425.0,430.0,110.6147993453,30.5670751237,1041.5906304372
1,7.2816123962,0.3654403687,0.9036363959,-12.445854187,433.0,430.0,110.6150215129,30.5671114493,1044.598889824
2,4.6948132515,-0.3487358093,0.3516474962,-43.0218467712,2774.0,432.0,110.6731960577,30.5768699321,1514.4932223726
3,4.4259171486,-1.0772438049,0.6848042011,19.752281189,3512.0,466.0,110.6889792526,30.5838071134,1564.5234833118
4,6.1107077599,-0.0197127387,0.9866881371,1.7809900045,10716.0,555.0,110.8271645292,30.6176851063,705.8920629825
5,5.8247814178,-0.2932379842,0.945115447,-0.1081396341,10686.0,554.0,110.8265824458,30.6174626043,707.4795551673
6,4.2315707207,0.0632015914,0.970669508,-1.5110998154,10695.0,556.0,110.8267505699,30.617746311,709.6520442422
7,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
8,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
9,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
10,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
11,8.2780618668,-0.0,0.9927225113,0.0,669.0,418.0,110.620282221,30.5664322153,1030.3584953696
12,8.313410759,-0.504032135,0.8859475255,14.8780441284,424.0,427.0,110.6143183546,30.5666117329,1007.1772535937
13,4.6948132515,-0.3487358093,0.3516474962,-43.0218467712,2774.0,432.0,110.6731960577,30.5768699321,1514.4932223726
14,8.5351133347,4.7607650757,0.5189916492,11.6418304443,7066.0,638.0,110.7527180816,30.6162558324,1054.1169056213
15,6.1107077599,-0.0197127387,0.9866881371,1.7809900045,10716.0,555.0,110.8271645292,30.6176851063,705.8920629825
16,6.1107077599,-0.0197127387,0.9866881371,1.7809900045,10716.0,555.0,110.8271645292,30.6176851063,705.8920629825
17,6.1107077599,-0.0197127387,0.9866881371,1.7809900045,10716.0,555.0,110.8271645292,30.6176851063,705.8920629825
18,4.4805259705,0.1607968062,0.9756593108,-1.2498083115,10703.0,556.0,110.826916953,30.6177732456,709.4921933385
19,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
20,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
21,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
22,8.313410759,-0.504032135,0.8859475255,14.8780441284,424.0,427.0,110.6143183546,30.5666117329,1007.1772535937
23,8.313410759,-0.504032135,0.8859475255,14.8780441284,424.0,427.0,110.6143183546,30.5666117329,1007.1772535937
24,4.6948132515,-0.3487358093,0.3516474962,-43.0218467712,2774.0,432.0,110.6731960577,30.5768699321,1514.4932223726
25,8.9498844147,-0.0,0.9937613606,-0.0,7343.0,1078.0,110.7476562724,30.6718807674,1119.7709915573
26,6.1107077599,-0.0197127387,0.9866881371,1.7809900045,10716.0,555.0,110.8271645292,30.6176851063,705.8920629825
27,4.4805259705,0.1607968062,0.9756593108,-1.2498083115,10703.0,556.0,110.826916953,30.6177732456,709.4921933385
28,4.4805259705,0.1607968062,0.9756593108,-1.2498083115,10703.0,556.0,110.826916953,30.6177732456,709.4921933385
29,5.4018445015,-0.6483843923,0.9370107055,-3.3013448715,10691.0,556.0,110.8266888097,30.6177362949,711.1670191046
30,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
31,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
32,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
33,7.6089296341,0.3932914734,0.9097530246,-12.4340744019,434.0,430.0,110.6150442439,30.567115169,1044.6544927917
34,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
35,4.27566576,-0.0,0.9734076858,0.0,4720.0,1407.0,110.6832552428,30.7036280533,1169.8181769811
36,8.9498844147,-0.0,0.9937613606,-0.0,7343.0,1078.0,110.7476562724,30.6718807674,1119.7709915573
37,8.9870223999,-4.754257679,0.9127324224,-7.5656614304,10674.0,577.0,110.8260122324,30.6203200115,727.9815493338
38,8.9870223999,-4.754257679,0.9127324224,-7.5656614304,10674.0,577.0,110.8260122324,30.6203200115,727.9815493338
39,8.9870223999,-4.754257679,0.9127324224,-7.5656614304,10674.0,577.0,110.8260122324,30.6203200115,727.9815493338
40,8.0735235214,-4.4424824715,0.9055005908,-11.0119276047,10674.0,576.0,110.8261084992,30.6202072774,732.6126859915
41,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
