ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
0,5.4096226692,110.6534631417,31,-1.16164e-05,30.5625695601,-1.16518e-05,110.6436750939,110.5910092012,30.553948848,-1.16471e-05
1,7.2816123962,110.6900306955,31,-1.16201e-05,30.5685446611,-1.16574e-05,110.6802602722,110.6279281096,30.5599943742,-1.1649e-05
2,4.6948132515,110.7263721653,31,-1.16257e-05,30.5744719283,-1.16592e-05,110.7166192495,110.6646120571,30.5659903359,-1.16536e-05
3,4.4259171486,110.7624933795,31,-1.16276e-05,30.5803525136,-1.16648e-05,110.7527578576,110.7010672304,30.5719379554,-1.16592e-05
4,6.1107077599,110.7983999347,31,-1.16313e-05,30.5861875233,-1.16685e-05,110.7886816962,110.7372995649,30.5778384052,-1.1662e-05
5,5.8247814178,110.834097208,31,-1.16359e-05,30.5919780202,-1.16713e-05,110.8243961457,110.7733147581,30.5836928108,-1.16667e-05
6,4.2315707207,110.8695903691,31,-1.16397e-05,30.5977250261,-1.16769e-05,110.8599063784,110.8091182828,30.5895022534,-1.16704e-05
7,0.0,110.9048843909,31,-1.16434e-05,30.603429524,-1.16806e-05,110.8952173701,110.8447153992,30.595267772,-1.16741e-05
8,0.0,110.9399840596,31,-1.16462e-05,30.6090924599,-1.16853e-05,110.9303339097,110.880111166,30.6009903661,-1.16788e-05
9,0.0,110.9748939847,31,-1.16518e-05,30.6147147448,-1.16872e-05,110.9652606093,110.9153104509,30.6066709972,-1.16825e-05
10,0.0,110.9865992386,31,-1.16564e-05,30.616597649,-1.169e-05,110.9769714865,110.9503179407,30.6123105911,-1.16862e-05
11,8.2780618668,110.6466009647,31,-1.16369e-05,30.5936633748,-1.16741e-05,110.6368102861,110.5841265612,30.5850430577,-1.16685e-05
12,8.313410759,110.6831808712,31,-1.16406e-05,30.5996381832,-1.16769e-05,110.6734078445,110.6210579714,30.5910883102,-1.16723e-05
13,4.6948132515,110.7195346118,31,-1.16453e-05,30.605565145,-1.16816e-05,110.7097791198,110.6577543349,30.5970839849,-1.16769e-05
14,8.5351133347,110.7556680171,31,-1.16499e-05,30.6114454123,-1.16862e-05,110.7459299462,110.6942218411,30.6030313045,-1.16816e-05
15,6.1107077599,110.791586686,31,-1.16536e-05,30.6172800917,-1.169e-05,110.7818659254,110.7304664277,30.6089314417,-1.16844e-05
16,6.1107077599,110.8272959978,31,-1.16574e-05,30.6230702463,-1.16946e-05,110.81759244,110.7664937945,30.6147855223,-1.16881e-05
17,6.1107077599,110.8628011242,31,-1.1662e-05,30.628816898,-1.16974e-05,110.8531146645,110.8023094165,30.6205946276,-1.16918e-05
18,4.4805259705,110.8981070399,31,-1.16667e-05,30.6345210301,-1.17021e-05,110.8884375765,110.8379185559,30.6263597972,-1.16965e-05
